Алабама;US-AL
Аляска;US-AK
Аризона;US-AZ
Арканзас;US-AR
Калифорния;US-CA
Колорадо;US-CO
Коннектикут;US-CT
Делавэр;US-DE
Флорида;US-FL
Джорджия;US-GA
Гавайи;US-HI
Айдахо;US-ID
Иллинойс;US-IL
Индиана;US-IN
Айова;US-IA
Канзас;US-KS
Кентукки;US-KY
Луизиана;US-LA
Мэн;US-ME
Мэриленд;US-MD
Массачусетс;US-MA
Мичиган;US-MI
Миннесота;US-MN
Миссисипи;US-MS
Миссури;US-MO
Монтана;US-MT
Небраска;US-NE
Невада;US-NV
Нью-Гемпшир;US-NH
Нью-Джерси;US-NJ
Нью-Мексико;US-NM
Нью-Йорк;US-NY
Северная Каролина;US-NC
Северная Дакота;US-ND
Огайо;US-OH
Оклахома;US-OK
Орегон;US-OR
Пенсильвания;US-PA
Род-Айленд;US-RI
Южная Каролина;US-SC
Южная Дакота;US-SD
Теннесси;US-TN
Техас;US-TX
Юта;US-UT
Вермонт;US-VT
Виргиния;US-VA
Вашингтон;US-WA
Западная Виргиния;US-WV
Висконсин;US-WI
Вайоминг;US-WY
Округ Колумбия;US-DC
Американское Самоа;US-AS
Гуам;US-GU
Северные Марианские острова;US-MP
Пуэрто-Рико;US-PR
Внешние малые острова;US-UM
Американские Виргинские острова;US-VI
